ID_human,ID_mouse,mondo_id_human,mondo_id_mouse,score_human,score_mouse,pair_type,depth_human,depth_mouse,lca_depth,tree_distance
GSE75215,GSE74018,MONDO_0018874,MONDO_0018874,2.772740729911296,3.7791955624791607,matched,5,5,5,0
GSE75215,GSE77846,MONDO_0018874,MONDO_0018874,2.772740729911296,4.416917385996621,matched,5,5,5,0
GSE75215,GSE77847,MONDO_0018874,MONDO_0018874,2.772740729911296,4.414218732471825,matched,5,5,5,0
GSE75215,GSE77967,MONDO_0018874,MONDO_0018874,2.772740729911296,1.980944618941855,matched,5,5,5,0
GSE75215,GSE78691,MONDO_0018874,MONDO_0018874,2.772740729911296,3.436333055630881,matched,5,5,5,0
GSE75215,GSE79068,MONDO_0018874,MONDO_0018874,2.772740729911296,4.053585190130817,matched,5,5,5,0
GSE75215,GSE80745,MONDO_0018874,MONDO_0018874,2.772740729911296,4.354018358994531,matched,5,5,5,0
GSE75215,GSE81329,MONDO_0018874,MONDO_0018874,2.772740729911296,4.3282380718451625,matched,5,5,5,0
GSE75215,GSE81420,MONDO_0018874,MONDO_0018874,2.772740729911296,4.672255011508943,matched,5,5,5,0
GSE75215,GSE81421,MONDO_0018874,MONDO_0018874,2.772740729911296,4.555775039759062,matched,5,5,5,0
GSE75215,GSE85193,MONDO_0018874,MONDO_0018874,2.772740729911296,4.16837069433296,matched,5,5,5,0
GSE75215,GSE87870,MONDO_0018874,MONDO_0018874,2.772740729911296,4.9152276967838535,matched,5,5,5,0
GSE75215,GSE88905,MONDO_0018874,MONDO_0018874,2.772740729911296,3.5580997999231685,matched,5,5,5,0
GSE75215,GSE90136,MONDO_0018874,MONDO_0018874,2.772740729911296,3.926579939355463,matched,5,5,5,0
GSE75215,GSE94840,MONDO_0018874,MONDO_0018874,2.772740729911296,3.5503852489935657,matched,5,5,5,0
GSE75215,GSE96061,MONDO_0018874,MONDO_0018874,2.772740729911296,2.8893112689031697,matched,5,5,5,0
GSE75215,GSE97078,MONDO_0018874,MONDO_0018874,2.772740729911296,2.552996681043492,matched,5,5,5,0
GSE75215,GSE97389,MONDO_0018874,MONDO_0018874,2.772740729911296,3.826421464669248,matched,5,5,5,0
GSE75215,GSE97450,MONDO_0018874,MONDO_0018874,2.772740729911296,3.769088585457327,matched,5,5,5,0
GSE75367,GSE31223,MONDO_0004989,MONDO_0004989,2.905184608614979,1.5241017579263578,matched,2,2,2,0
