ID,child,parent,parent_hit
GSE75576,MONDO_0000637,MONDO_0004992,False
GSE108367,MONDO_0000637,MONDO_0004992,False
GSE75615,MONDO_0000637,MONDO_0004992,False
GSE58732,MONDO_0000637,MONDO_0004992,False
GSE88841,MONDO_0000637,MONDO_0004992,False
GSE74690,MONDO_0000637,MONDO_0004992,False
GSE69654,MONDO_0000637,MONDO_0004992,False
GSE53599,MONDO_0000637,MONDO_0004992,False
GSE42990,MONDO_0000637,MONDO_0004992,False
GSE84703,MONDO_0000637,MONDO_0004992,False
GSE69786,MONDO_0000637,MONDO_0004992,False
GSE83204,MONDO_0000637,MONDO_0004992,False
GSE68391,MONDO_0000637,MONDO_0004992,False
GSE81842,MONDO_0000637,MONDO_0004992,False
GSE67609,MONDO_0000637,MONDO_0004992,False
GSE72857,MONDO_0000637,MONDO_0004992,False
GSE104138,MONDO_0000637,MONDO_0004992,False
GSE107653,MONDO_0000637,MONDO_0004992,False
GSE109653,MONDO_0000637,MONDO_0004992,False
GSE70243,MONDO_0000637,MONDO_0004992,False
GSE52870,MONDO_0000637,MONDO_0004992,False
GSE77185,MONDO_0000637,MONDO_0004992,False
GSE70235,MONDO_0000637,MONDO_0004992,False
GSE96607,MONDO_0000637,MONDO_0004992,False
GSE55310,MONDO_0000637,MONDO_0004992,False
GSE72487,MONDO_0000637,MONDO_0004992,False
GSE66232,MONDO_0000637,MONDO_0004992,False
GSE60367,MONDO_0000637,MONDO_0004992,False
GSE69858,MONDO_0000637,MONDO_0004992,False
GSE100990,MONDO_0000637,MONDO_0004992,False
GSE99656,MONDO_0000637,MONDO_0004992,False
GSE70031,MONDO_0000637,MONDO_0004992,False
GSE76123,MONDO_0000637,MONDO_0004992,False
GSE63681,MONDO_0000637,MONDO_0004992,False
GSE84961,MONDO_0000637,MONDO_0004992,False
GSE45893,MONDO_0000649,MONDO_0005872,False
GSE54246,MONDO_0000649,MONDO_0005872,False
GSE86301,MONDO_0000653,MONDO_0004992,False
GSE72480,MONDO_0000653,MONDO_0004992,False
GSE60367,MONDO_0000870,MONDO_0003659,True
GSE60367,MONDO_0000870,MONDO_0004355,True
GSE102757,MONDO_0000870,MONDO_0003659,True
GSE102757,MONDO_0000870,MONDO_0004355,True
GSE63751,MONDO_0000870,MONDO_0003659,True
GSE63751,MONDO_0000870,MONDO_0004355,True
GSE89622,MONDO_0000870,MONDO_0003659,False
GSE89622,MONDO_0000870,MONDO_0004355,False
GSE52870,MONDO_0000870,MONDO_0003659,True
GSE52870,MONDO_0000870,MONDO_0004355,True
GSE56690,MONDO_0000870,MONDO_0003659,False
GSE56690,MONDO_0000870,MONDO_0004355,True
GSE83755,MONDO_0000870,MONDO_0003659,True
GSE83755,MONDO_0000870,MONDO_0004355,True
GSE90655,MONDO_0000870,MONDO_0003659,True
GSE90655,MONDO_0000870,MONDO_0004355,True
GSE97389,MONDO_0000870,MONDO_0003659,False
GSE97389,MONDO_0000870,MONDO_0004355,True
GSE68391,MONDO_0000870,MONDO_0003659,False
GSE68391,MONDO_0000870,MONDO_0004355,False
GSE89952,MONDO_0000870,MONDO_0003659,False
GSE89952,MONDO_0000870,MONDO_0004355,False
GSE64893,MONDO_0000870,MONDO_0003659,False
GSE64893,MONDO_0000870,MONDO_0004355,False
GSE64899,MONDO_0000870,MONDO_0003659,False
GSE64899,MONDO_0000870,MONDO_0004355,False
GSE54447,MONDO_0000870,MONDO_0003659,False
GSE54447,MONDO_0000870,MONDO_0004355,False
GSE102757,MONDO_0000871,MONDO_0000621,False
GSE102757,MONDO_0000871,MONDO_0000870,True
GSE102757,MONDO_0000871,MONDO_0004403,True
GSE60367,MONDO_0000871,MONDO_0000621,True
GSE60367,MONDO_0000871,MONDO_0000870,True
GSE60367,MONDO_0000871,MONDO_0004403,True
GSE63751,MONDO_0000872,MONDO_0000621,True
GSE63751,MONDO_0000872,MONDO_0000870,True
GSE89622,MONDO_0000872,MONDO_0000621,True
GSE89622,MONDO_0000872,MONDO_0000870,True
GSE52870,MONDO_0000872,MONDO_0000621,True
GSE52870,MONDO_0000872,MONDO_0000870,True
GSE60367,MONDO_0000872,MONDO_0000621,True
GSE60367,MONDO_0000872,MONDO_0000870,True
GSE65395,MONDO_0001056,MONDO_0002516,True
GSE93774,MONDO_0001056,MONDO_0002516,True
GSE67957,MONDO_0001056,MONDO_0002516,False
GSE83964,MONDO_0001056,MONDO_0002516,False
GSE73336,MONDO_0001056,MONDO_0002516,False
GSE53782,MONDO_0001056,MONDO_0002516,False
GSE67476,MONDO_0001056,MONDO_0002516,False
GSE70135,MONDO_0001056,MONDO_0002516,False
GSE67270,MONDO_0001056,MONDO_0002516,False
