ID_human,ID_mouse,mondo_id_human,mondo_id_mouse,log2(prob/prior)_human,log2(prob/prior)_mouse,depth_human,depth_mouse,pair_type
GSE56701,GSE60837,MONDO_0008315,MONDO_0005575,2.7040095111467988,3.7276323927864814,3,3,branch
GSE56742,GSE89419,MONDO_0003274,MONDO_0005089,1.5176887853413388,2.1046983433488435,1,1,branch
GSE56882,GSE67270,MONDO_0004989,MONDO_0001056,3.714012822553,1.5909888213065515,2,2,branch
GSE56900,GSE42605,MONDO_0005089,MONDO_0002516,4.176894682612599,1.239593237127516,1,1,branch
GSE57078,GSE59831,MONDO_0008315,MONDO_0005061,3.050831483131987,4.5491169927936985,3,3,branch
GSE57243,GSE79437,MONDO_0007254,MONDO_0100342,2.694595697766652,4.083866177471436,2,2,branch
GSE57478,GSE76075,MONDO_0009693,MONDO_0007254,5.463757655241716,2.630105572809785,2,2,branch
GSE57501,GSE81476,MONDO_0002813,MONDO_0005089,2.4732578928211795,3.005063337312499,1,1,branch
GSE57530,GSE89549,MONDO_0005089,MONDO_0005627,1.3478208060355978,1.0572347209884008,1,1,branch
GSE57681,GSE77410,MONDO_0008903,MONDO_0009831,2.92201755050914,1.26695661687392,2,2,branch
GSE57872,GSE76184,MONDO_0005872,MONDO_0020665,2.0005329416968816,2.907458976408594,1,1,branch
GSE57925,GSE77896,MONDO_0009807,MONDO_0009831,1.0144545253837058,2.137767178998666,2,2,branch
GSE58008,GSE57043,MONDO_0004989,MONDO_0005138,1.6902481993609244,1.601910341874819,2,2,branch
GSE58135,GSE80083,MONDO_0006256,MONDO_0008315,5.883292766916348,4.116692168392473,3,3,branch
GSE58326,GSE79437,MONDO_0004989,MONDO_0100342,2.252031992267663,4.083866177471436,2,2,branch
GSE58345,GSE94583,MONDO_0016680,MONDO_0007256,4.595098092994284,4.9417259931317385,3,3,branch
GSE58379,GSE74138,MONDO_0007254,MONDO_0001187,3.206748363406478,1.325259061760668,2,2,branch
GSE58586,GSE92721,MONDO_0008170,MONDO_0008315,2.2384778955313567,1.7976789285190369,3,3,branch
GSE58708,GSE93279,MONDO_0004989,MONDO_0009831,4.137125609031153,4.523134346641617,2,2,branch
GSE59066,GSE71877,MONDO_0005086,MONDO_0005061,3.694043519074333,2.423129068639251,3,3,branch
GSE59223,GSE57804,MONDO_0005814,MONDO_0004989,2.533635735317912,1.5395035340354803,2,2,branch
GSE59290,GSE80083,MONDO_0005575,MONDO_0008315,3.1010825994626385,4.116692168392473,3,3,branch
GSE59483,GSE67270,MONDO_0001187,MONDO_0001056,3.925154101282499,1.5909888213065515,2,2,branch
GSE59531,GSE39509,MONDO_0004989,MONDO_0005836,3.516783637971223,4.1349031730232895,2,2,branch
GSE59535,GSE94566,MONDO_0004989,MONDO_0009831,2.5838050882120007,3.976412664592291,2,2,branch
GSE59536,GSE67476,MONDO_0004989,MONDO_0001056,1.8869622065698624,2.1745647198563414,2,2,branch
