gse_1,gse_2,jaccard,containment,overlap_count,shared_cuis,title_1,title_2,comparison
GSE92723,GSE96818,0.2166666666666666,0.4482758620689655,13,"['C0008972', 'C0018017', 'C0040649', 'C0162493', 'C0557651', 'C0947630', 'C1158770', 'C1705923', 'C1707455', 'C1883559', 'C2603343', 'C5205215', 'C5444688']",Transcriptome analysis for KDM6A mutated urothelial bladder carcinoma and EZH2 inhibitor treated KDM6A mutated urothelial bladder carcinoma,Analysis of WT and IRF1-deficient Th9 cell transcriptomes in the presence of IFN-gamma,human_mouse
GSE84085,GSE58916,0.2165605095541401,0.3617021276595745,34,"['C0002778', 'C0008630', 'C0008972', 'C0017262', 'C0033137', 'C0086418', 'C0185117', 'C0205225', 'C0205360', 'C0439612', 'C0557651', 'C0872262', 'C0920317', 'C0936012', 'C0947630', 'C1335497', 'C1511726', 'C1524024', 'C1546437', 'C1547311', 'C1705923', 'C2603343', 'C2911684', 'C3178810', 'C3245479', 'C3714741', 'C3854321', 'C3858752', 'C4086963', 'C4318409', 'C4699379', 'C4723641', 'C4760607', 'C5679898']",Next Generation Sequencing Facilitates Quantitative Analysis of Human Primary and Pluripotent Stem Cell-Derived Epicardial Cell Transcriptomes,RNA Sequencing Quantitative Analysis of cell lines derived from tumours from two mouse models of human osteosarcoma that recapitulate clinically distinct human osteosarcoma subtypes.,human_mouse
GSE101665,GSE94382,0.2164179104477611,0.4754098360655737,29,"['C0004561', 'C0007634', 'C0017262', 'C0018270', 'C0023172', 'C0032659', 'C0151904', 'C0185117', 'C0205217', 'C0205307', 'C0220844', 'C0221106', 'C0442805', 'C0524983', 'C0596632', 'C1257890', 'C1550457', 'C1550469', 'C1551394', 'C1553386', 'C1621966', 'C2911660', 'C2911684', 'C3854321', 'C3899739', 'C4699379', 'C5205739', 'C5236002', 'C5441846']",RNA seq of pancreatic cancer-associated fibroblasts,Subpopulations of mouse beta cells,human_mouse
GSE51124,GSE97195,0.2164179104477611,0.4677419354838709,29,"['C0017262', 'C0017263', 'C0017337', 'C0035668', 'C0040649', 'C0079429', 'C0162801', 'C0185117', 'C0205409', 'C0750927', 'C0752248', 'C1160700', 'C1294197', 'C1417679', 'C1511726', 'C1517486', 'C1546437', 'C1548221', 'C1561491', 'C1764827', 'C2911684', 'C3178810', 'C3245479', 'C3714741', 'C3854321', 'C4086963', 'C4699379', 'C4706387', 'C4760607']","Gene expression, single nucleotide variant and fusion transcript discovery in archival material from breast tumors",Deep sequencing and high-throughput analysis of PIWI-associated small RNAs,human_mouse
GSE108366,GSE40436,0.2163461538461538,0.4368932038834951,45,"['C0008630', 'C0008972', 'C0010992', 'C0017262', 'C0017428', 'C0018017', 'C0027792', 'C0162801', 'C0282655', 'C0557651', 'C0814926', 'C0936012', 'C0947630', 'C1294197', 'C1511726', 'C1524024', 'C1546437', 'C1546459', 'C1561491', 'C1704259', 'C1705923', 'C1705987', 'C1710679', 'C1883559', 'C2338314', 'C2603343', 'C2700323', 'C2930505', 'C2936624', 'C2979882', 'C3178810', 'C3178997', 'C3245479', 'C3640979', 'C3714741', 'C3858752', 'C4086963', 'C4527431', 'C4723641', 'C4760607', 'C5205215', 'C5205297', 'C5444688', 'C5447528', 'C5555096']",RNA-seq Facilitates Quantitative Analysis of Wild Type and RXRÎ±-silenced HepG2-NTCP Cell Transcriptomes,Next Generation Sequencing Facilitates Quantitative Analysis of Cyp26b1-/-skin and En1cre;Cyp26b1f/- epidermal and dermal Transcriptomes,human_mouse
GSE50499,GSE57926,0.2162162162162162,0.375,24,"['C0004083', 'C0006104', 'C0017262', 'C0031327', 'C0033618', 'C0085177', 'C0153633', 'C0185117', 'C0242210', 'C0439849', 'C0441712', 'C0596306', 'C0699792', 'C0907884', 'C1524059', 'C1704770', 'C1706376', 'C1706979', 'C1826636', 'C2911684', 'C3854321', 'C3887511', 'C4266577', 'C4699379']",FMRP-associated MOV10 facilitates and antagonizes miRNA-mediated regulation,RBFox2 regulates a broad RNA program and is required for genome-wide targeting of polycomb complex,human_mouse
GSE58107,GSE98158,0.2162162162162162,0.4137931034482758,24,"['C0004561', 'C0007634', 'C0017262', 'C0017263', 'C0017337', 'C0023172', 'C0031843', 'C0041904', 'C0079429', 'C0185117', 'C0524983', 'C0542341', 'C0700205', 'C0851285', 'C1156284', 'C1315032', 'C1327622', 'C1417679', 'C1705273', 'C2911684', 'C3854321', 'C3899739', 'C4086963', 'C4699379']",Characterization of human CDK12 and CDK13 in the regulation of RNA processing,"The novel heme-dependent inducible protein, SRRD regulates heme biosynthesis and circadian rhythms",human_mouse
GSE46322,GSE101643,0.2162162162162162,0.4324324324324324,16,"['C0008972', 'C0018017', 'C0020792', 'C0205396', 'C0242629', 'C0557651', 'C0947630', 'C1571704', 'C1705923', 'C1707660', 'C2603343', 'C2986383', 'C4025197', 'C4053868', 'C4086963', 'C4760607']",Identification of miRNAs regulated by TGF-b in human CD8+ T cells (small RNA-seq),Identification of differential gene expression in WT and DGKzeta deficient CD8 T cells by RNA-seq,human_mouse
GSE52912,GSE83099,0.2162162162162162,0.4444444444444444,16,"['C0004561', 'C0007634', 'C0023172', 'C0524983', 'C0752248', 'C0936012', 'C1446409', 'C1449575', 'C1514241', 'C1956267', 'C2825490', 'C3812269', 'C3899739', 'C4055498', 'C4727483', 'C5552813']","Differential expression of human parthenogenic stem cells, neural stem cells and DA progenitors.",The zinc transporter ZIP10 regulates epidermal morphogenesis,human_mouse
GSE93902,GSE106913,0.2162162162162162,0.5161290322580645,16,"['C0004561', 'C0007634', 'C0023172', 'C0035173', 'C0220825', 'C0524983', 'C0752248', 'C1261322', 'C1292732', 'C1327760', 'C1449575', 'C1513400', 'C1552578', 'C2350567', 'C3899739', 'C5552813']",Effect of BCL11B knockdown on transcriptome of human T-cell precursors,Gene expression profiling of mouse macrophages following long noncoding RNA Malat1 knockdown,human_mouse
